00Cs4,2r1q1k1/8/b2b1r1p/Pp1pNpp1/3Pn3/1RPQ3P/P1B1NPP1/4R1K1 w - - 3 28,a2a4 b5a4 d3a6 a4b3,1344,89,85,61,advantage middlegame short,https://lichess.org/fswqBBFw#55
00CtS,Q5k1/5q2/p2p4/b1p1pr2/P7/6P1/4KP1R/8 b - - 3 38,g8g7 a8h8 g7g6 h8h6,1095,78,100,204,endgame mate mateIn2 short,https://lichess.org/yKolw9vl/black#76
00D77,5rk1/bpp3pp/p1npb3/4p3/1P2Nr1q/P1PP3P/1B1QBPR1/2K3R1 b - - 2 21,h4h3 g2g7 g8h8 e4g5,1816,75,93,627,crushing kingsideAttack middlegame short,https://lichess.org/PgppfwbE/black#42
00D7x,rnq2r2/pp3pbk/3p1n2/2pPpPQ1/2P1P3/2N2NP1/PP4KP/R4R2 b - - 2 18,f8g8 g5h4 g7h6 h4f6,1684,74,94,333,crushing deflection middlegame short,https://lichess.org/RKX1Co2s/black#36
00DEc,8/p5pk/1p3b1p/3r3P/6P1/3nBN2/P4PK1/4R3 w - - 3 30,e1d1 d3f4 e3f4 d5d1,1079,76,87,162,crushing discoveredAttack endgame short,https://lichess.org/T0mRW37D#59
00DPQ,2k4r/pp3pp1/4pn2/2np2p1/8/1B1P1Pq1/PPPN1R2/R2Q3K w - - 6 20,f2h2 g3h2,727,100,83,80,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/AKiNfVd0#39
00DTg,r2qk2r/1pp2ppp/p1pb1n2/4P3/3Q4/2N2b2/PPP2PPP/R1B2RK1 w kq - 0 10,e5f6 d6h2 g1h2 d8d4,1216,76,95,992,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/EqbT8Dsc#19
00DdW,5rk1/4bppp/4b3/1p1pPpPP/2pP4/2P5/rqNQKP2/2RRN3 b - - 5 23,e7a3 c1b1 b2b3 b1b3,1677,75,92,279,advantage middlegame short trappedPiece,https://lichess.org/bT7kcwFH/black#46
00Dw8,8/2p1N1p1/3r3p/6k1/3p4/6P1/6KP/3R4 w - - 0 42,h2h4 g5f6,1491,233,100,4,defensiveMove endgame equality oneMove,https://lichess.org/dlF3OKdi#83
00E8G,7Q/8/8/1pk5/8/4K3/2q5/8 b - - 14 57,c2b3 e3d2,1073,411,100,11,defensiveMove endgame equality oneMove queenEndgame,https://lichess.org/zZ3pnt2j/black#114
00EBZ,3rr1k1/p4pp1/1pp4p/3pPQ2/1P3P2/2P3qP/P2R2P1/5RK1 w - - 1 24,f1f3 g3e1 g1h2 e1d2,1091,75,100,336,crushing endgame fork short,https://lichess.org/FrMf0UcF#47
00EDN,rnbq1rk1/p4ppp/1p2p3/2p5/2QPn3/2P1PN2/P3BPPP/R1B2RK1 w - - 0 11,c1a3 c8a6 c4a6 b8a6,1712,90,72,23,advantage middlegame short,https://lichess.org/clViyZ2d#21
00EEp,3k2q1/pb1p3p/1p1P4/2p5/2P2Q1K/8/P7/5R2 b - - 2 36,b7g2 f4f8 g8f8 f1f8,1565,84,82,52,endgame mate mateIn2 short,https://lichess.org/dWHeDlRz/black#72
